snapshot_id,source_revision,pad_id,legacy_id,pad_name,county,township,record_revision,has_reviewed_directions,has_structured_sequence,selected_destination_source,selected_latitude,selected_longitude,verified_entrance_latitude,verified_entrance_longitude,saved_pad_latitude,saved_pad_longitude,odnr_pad_latitude,odnr_pad_longitude,odnr_wellhead_latitude,odnr_wellhead_longitude,public_google_route,public_google_handoff
098667bf-a39f-4e7b-86e1-0706c882943c,6,83499ca1-3c45-4502-b7c2-688e88343093,ascent--kurth,KURTH,Belmont,RICHLAND,1786258360881449,true,true,saved_pad_reference,40.031709,-80.841961,,,40.031709,-80.841961,,,,,false,false
098667bf-a39f-4e7b-86e1-0706c882943c,6,907c0955-b7c1-47a9-b449-dd5762f2e642,ascent--lee,LEE,Belmont,COLERAIN,1786258360881449,true,true,saved_pad_reference,40.090178,-80.811589,,,40.090178,-80.811589,,,,,false,false
098667bf-a39f-4e7b-86e1-0706c882943c,6,a35f0ea7-13d7-45dd-8fe2-fe73e4964df2,ascent--lorraine,LORRAINE,Belmont,RICHLAND,1786265812046205,true,true,saved_pad_reference,40.09955,-80.840213,,,40.09955,-80.840213,,,,,false,false
098667bf-a39f-4e7b-86e1-0706c882943c,6,8f616827-d7da-4b40-b9c2-49fd5e713822,ascent--maldon,MALDON,Belmont,WARREN,1786265812046205,true,true,saved_pad_reference,40.010241,-81.197285,,,40.010241,-81.197285,,,,,false,false
098667bf-a39f-4e7b-86e1-0706c882943c,6,d6d0a0fd-1cd3-48ae-8e41-90d744b9f8f6,ascent--matusek,MATUSEK,Belmont,WHEELING,1786258360881449,true,true,saved_pad_reference,40.146555,-80.922785,,,40.146555,-80.922785,,,,,false,false
098667bf-a39f-4e7b-86e1-0706c882943c,6,d5722be0-59a2-42ae-baed-4c73efef4df6,ascent--miller,MILLER,Belmont,Pultney,1786265812046205,true,true,saved_pad_reference,39.994185,-80.790537,,,39.994185,-80.790537,,,,,false,false
098667bf-a39f-4e7b-86e1-0706c882943c,6,bf97cbb2-e1bd-485e-b41d-fa314a8f9a0a,ascent--oboy,OBOY,Belmont,COLERAIN,1786258360881449,true,true,saved_pad_reference,40.135262,-80.872088,,,40.135262,-80.872088,,,,,false,false
098667bf-a39f-4e7b-86e1-0706c882943c,6,ac833974-3bda-4370-b7f8-48e4fd4dcdee,ascent--oliver,OLIVER,Belmont,COLERAIN,1787459253071652,true,true,saved_pad_reference,40.141528,-80.796019,,,40.141528,-80.796019,,,,,false,false
098667bf-a39f-4e7b-86e1-0706c882943c,6,74032b6e-179d-4672-8720-55ac86cab232,ascent--pang,PANG,Belmont,WHEELING,1786258360881449,true,true,saved_pad_reference,40.147178,-80.948742,,,40.147178,-80.948742,,,,,false,false
098667bf-a39f-4e7b-86e1-0706c882943c,6,7dd270a8-bd26-413f-b5dc-106fbce8fdd4,ascent--pavich,PAVICH,Belmont,WASHINGTON,1786258360881449,true,true,saved_pad_reference,39.86264,-80.92166,,,39.86264,-80.92166,,,,,false,false
098667bf-a39f-4e7b-86e1-0706c882943c,6,a3d9eb44-0446-4e4d-8917-ee6b978565f4,ascent--pol,POL,Belmont,Pease,1787459253071652,true,true,saved_pad_reference,40.1703,-80.788818,,,40.1703,-80.788818,,,,,false,false
098667bf-a39f-4e7b-86e1-0706c882943c,6,41f0bfc3-7be1-450f-abfc-96dce544547b,ascent--porterfield-b,PORTERFIELD B,Belmont,RICHLAND,1786258360881449,true,true,saved_pad_reference,40.090438,-80.92121,,,40.090438,-80.92121,,,,,false,false
098667bf-a39f-4e7b-86e1-0706c882943c,6,0b7105a0-1b36-4182-8d10-1f2e297c8bab,ascent--porterfield-gas-unit,PORTERFIELD GAS UNIT,Belmont,Richland,1786258360881449,true,true,saved_pad_reference,40.090431,-80.928503,,,40.090431,-80.928503,,,,,false,false
098667bf-a39f-4e7b-86e1-0706c882943c,6,bb597303-aba8-47d6-9503-692687331658,ascent--premiere,PREMIERE,Belmont,Wheeling,1786265512886177,true,true,official_wellhead_reference,40.128496,-81.001952,,,,,,,40.128496,-81.001952,false,false
098667bf-a39f-4e7b-86e1-0706c882943c,6,4408e188-ccb4-40a6-9627-6c7a648fdd49,ascent--prosser-e,PROSSER E,Belmont,UNION,1786265812046205,true,true,saved_pad_reference,40.101534,-81.020914,,,40.101534,-81.020914,,,,,false,false
098667bf-a39f-4e7b-86e1-0706c882943c,6,fd6649db-8828-4f70-8519-8aac5097bfe8,ascent--r-hoover,R HOOVER,Belmont,WHEELING,1786258360881449,true,true,saved_pad_reference,40.144397,-80.892833,,,40.144397,-80.892833,,,,,false,false
098667bf-a39f-4e7b-86e1-0706c882943c,6,b8490b6c-0924-4b1d-a46e-6dc54e7e7267,ascent--reitz,REITZ,Belmont,MEAD,1786265812046205,true,true,saved_pad_reference,39.95176,-80.857579,,,39.95176,-80.857579,,,,,false,false
098667bf-a39f-4e7b-86e1-0706c882943c,6,73f48788-9990-435a-adee-999740e958de,ascent--richland-b,RICHLAND B,Belmont,RICHLAND,1786258360881449,true,true,saved_pad_reference,40.077481,-80.995772,,,40.077481,-80.995772,,,,,false,false
098667bf-a39f-4e7b-86e1-0706c882943c,6,435db86b-8ba5-40e2-a181-252adef649ab,ascent--robinson,ROBINSON,Belmont,Pultney,1787459253071652,true,true,saved_pad_reference,40.014531,-80.770108,,,40.014531,-80.770108,,,,,false,false
098667bf-a39f-4e7b-86e1-0706c882943c,6,19a4f7ef-4334-4b1c-8443-2c5ccb323d1d,ascent--rock-ridge,ROCK RIDGE,Belmont,Warren,1786265812046205,true,true,verified_driver_entrance,39.998772,-81.224825,39.998772,-81.224825,,,,,,,false,false
