record_id,pad_name,company,state,original_step,standardized_display,review_reason
eog--janie-trust,JANIE-TRUST,Eog,Ohio,CR-776 / Steubenville Pike Rd,CR-776 / Steubenville Pike Rd,slash/alias road name needs source verification
eog--leeper,LEEPER,Eog,Ohio,Cr22/azalea Rd,Cr22/Azalea Rd,slash/alias road name needs source verification
eog--leeper,LEEPER,Eog,Ohio,Tr102/cottage Rd,Tr102/Cottage Rd,slash/alias road name needs source verification
eog--leeper,LEEPER,Eog,Ohio,Tr105/cougar Rd,Tr105/Cougar Rd,slash/alias road name needs source verification
eog--lehwald,LEHWALD,Eog,Ohio,402/rochester Rd,402/Rochester Rd,slash/alias road name needs source verification
eog--lodestar,LODESTAR,Eog,Ohio,CR-2 / Now Called Archers Ridge Rd,CR-2 / Now Called Archers Ridge Rd,slash/alias road name needs source verification
eog--maple,MAPLE,Eog,Ohio,Route 40 / Kragel Rd,Route 40 / Kragel Rd,slash/alias road name needs source verification
eog--masters,MASTERS,Eog,Ohio,Havener,Havener,local name lacks a recognized road-type suffix
eog--mcmillen,MCMILLEN,Eog,Ohio,Sproul,Sproul,local name lacks a recognized road-type suffix
eog--mickey,MICKEY,Eog,Ohio,TR-4 / Miller Station Rd,TR-4 / Miller Station Rd,slash/alias road name needs source verification
eog--mickey,MICKEY,Eog,Ohio,TR-164 / Toker Rd,TR-164 / Toker Rd,slash/alias road name needs source verification
eog--ott,OTT,Eog,Ohio,Fargo,Fargo,local name lacks a recognized road-type suffix
eog--ourland,OURLAND,Eog,Ohio,OH-151 / Scio/bowerstown Rd,OH-151 / Scio/Bowerstown Rd,slash/alias road name needs source verification
eog--putnam,PUTNAM,Eog,Ohio,Alamo,Alamo,local name lacks a recognized road-type suffix
eog--schmuck,SCHMUCK,Eog,Ohio,CR-12 / Apollo Rd,CR-12 / Apollo Rd,slash/alias road name needs source verification
eog--schmuck,SCHMUCK,Eog,Ohio,CR-14 / Arbor Rd,CR-14 / Arbor Rd,slash/alias road name needs source verification
eog--sparkman,SPARKMAN,Eog,Ohio,I-70 / I-470 Near St,I-70 / I-470 Near St,slash/alias road name needs source verification
eog--sugert,SUGERT,Eog,Ohio,CR-450 / Old National Rd,CR-450 / Old National Rd,slash/alias road name needs source verification
eog--sugert,SUGERT,Eog,Ohio,CR-54 / Endly Rd,CR-54 / Endly Rd,slash/alias road name needs source verification
eog--wendell,WENDELL,Eog,Ohio,Caddy,Caddy,local name lacks a recognized road-type suffix
eog--white-rhino,WHITE-RHINO,Eog,Ohio,See BROOKFIELD,See BROOKFIELD,local name lacks a recognized road-type suffix
eog--windy-ridge,WINDY-RIDGE,Eog,Ohio,Cr22/azalea Rd,Cr22/Azalea Rd,slash/alias road name needs source verification
eqt--haymaker,HAYMAKER,Eqt,Ohio,OH-149 / West/belmont Warnock Rd,OH-149 / West/Belmont Warnock Rd,slash/alias road name needs source verification
eqt--haymaker,HAYMAKER,Eqt,Ohio,OH-147 / East/belmont Centerville Rd,OH-147 / East/Belmont Centerville Rd,slash/alias road name needs source verification
eqt--haymaker,HAYMAKER,Eqt,Ohio,Ballard Hunter/hunter Bethesda Rd,Ballard Hunter/Hunter Bethesda Rd,slash/alias road name needs source verification
eqt--radcliff,RADCLIFF,Eqt,Ohio,Buffalo,Buffalo,local name lacks a recognized road-type suffix
eqt--shotski,SHOTSKI,Eqt,Pennsylvania,Vanceville,Vanceville,local name lacks a recognized road-type suffix
eqt--shotski,SHOTSKI,Eqt,Pennsylvania,Wherry,Wherry,local name lacks a recognized road-type suffix
expand--mark-hickman,MARK-HICKMAN,Expand,West Virginia,CR-41 / Dallas Pike,CR-41 / Dallas Pike,slash/alias road name needs source verification
expand--mark-hickman,MARK-HICKMAN,Expand,West Virginia,Dallas Pike,Dallas Pike,local name lacks a recognized road-type suffix
expand--worthley,WORTHLEY,Expand,West Virginia,PA-18 / Jefferson Ave,PA-18 / Jefferson Ave,slash/alias road name needs source verification
expand--worthley,WORTHLEY,Expand,West Virginia,PA-844 / West/jefferson Ave,PA-844 / West/Jefferson Ave,slash/alias road name needs source verification
gulfport--arnold,ARNOLD,Gulfport,Ohio,Beallsville At Four Way,Beallsville at Four Way,local name lacks a recognized road-type suffix
gulfport--barton,BARTON,Gulfport,Ohio,CR-4 / Barton Rd,CR-4 / Barton Rd,slash/alias road name needs source verification
gulfport--claugus,CLAUGUS,Gulfport,Ohio,Sugartree-cranesnest,Sugartree-cranesnest,local name lacks a recognized road-type suffix
gulfport--edge,EDGE,Gulfport,Ohio,CR-23 / Pugh Ridge Rd,CR-23 / Pugh Ridge Rd,slash/alias road name needs source verification
gulfport--lepley,LEPLEY,Gulfport,Ohio,CR-23 / Pugh Ridge Rd,CR-23 / Pugh Ridge Rd,slash/alias road name needs source verification
gulfport--mckeegan,MCKEEGAN,Gulfport,Ohio,CR-16 / Nixon Run Rd,CR-16 / Nixon Run Rd,slash/alias road name needs source verification
gulfport--robert,ROBERT,Gulfport,Ohio,State Route-30/mt Carrick Rd,State Route-30/Mt Carrick Rd,slash/alias road name needs source verification
gulfport--truax,TRUAX,Gulfport,Ohio,CR-6 / Altitude Miller Hill Rd,CR-6 / Altitude Miller Hill Rd,slash/alias road name needs source verification
gulfport--white,WHITE,Gulfport,Ohio,That Says Chestnut Level Rd,That Says Chestnut Level Rd,step may contain narrative rather than an official road name
gulfport--winesburg,WINESBURG,Gulfport,Ohio,CR-23 / Pugh Ridge Rd,CR-23 / Pugh Ridge Rd,slash/alias road name needs source verification
gulfport--yankee,YANKEE,Gulfport,Ohio,Little Captina,Little Captina,local name lacks a recognized road-type suffix
hg--1221,1221,Hg,West Virginia,33/119 Turn On Churchville Rd,33/119 Turn On Churchville Rd,slash/alias road name needs source verification
hg--mnd,MND,Hg,West Virginia,Round Bottom,Round Bottom,local name lacks a recognized road-type suffix
hilcorp--fairmont,FAIRMONT,Hilcorp,Ohio,CR-890 / Riffle Rd,CR-890 / Riffle Rd,slash/alias road name needs source verification
hilcorp--fairmont,FAIRMONT,Hilcorp,Ohio,CR-891 / Pine Hollow Rd,CR-891 / Pine Hollow Rd,slash/alias road name needs source verification
hilcorp--fairmont,FAIRMONT,Hilcorp,Ohio,CR-906 / Lusk Lock Rd,CR-906 / Lusk Lock Rd,slash/alias road name needs source verification
infinity--casper,CASPER,Infinity,Ohio,CR-20 / Avalon Rd,CR-20 / Avalon Rd,slash/alias road name needs source verification
infinity--casper,CASPER,Infinity,Ohio,CR-42 / Bronze Rd,CR-42 / Bronze Rd,slash/alias road name needs source verification
infinity--detweiler,DETWEILER,Infinity,Ohio,OH-285 / Polasky Ln,OH-285 / Polasky Ln,slash/alias road name needs source verification
range--miscovich,MISCOVICH,Range,Pennsylvania,Gilmore,Gilmore,local name lacks a recognized road-type suffix
range--prigg,PRIGG,Range,Pennsylvania,SR-3011 / Mckee Rd,SR-3011 / Mckee Rd,slash/alias road name needs source verification
range--vankirk,VANKIRK,Range,Pennsylvania,SR-3030 / Buffalo Church Rd,SR-3030 / Buffalo Church Rd,slash/alias road name needs source verification
range--vankirk,VANKIRK,Range,Pennsylvania,SR-3014 / Van Neal Rd,SR-3014 / Van Neal Rd,slash/alias road name needs source verification
